episode,reward,game_score,lines,moves,epsilon,avg_reward_25,avg_game_score_25,avg_lines_25,avg_moves_25
1,-552.7,0,0,25,0.997,-552.7,0,0,25
2,-545.2,0,0,24,0.994009,-548.95,0,0,24.5
3,-439.1,0,0,22,0.991026973,-512.3333333333334,0,0,23.666666666666668
4,-585.1999999999999,0,0,26,0.988053892081,-530.55,0,0,24.25
5,-515.6999999999999,0,0,24,0.985089730404757,-527.58,0,0,24.2
6,-620.5,0,0,25,0.9821344612135428,-543.0666666666666,0,0,24.333333333333332
7,-638.1000000000001,0,0,28,0.9791880578299021,-556.6428571428571,0,0,24.857142857142858
8,-670.1999999999999,0,0,26,0.9762504936564125,-570.8375,0,0,25
9,-567.5,0,0,29,0.9733217421754432,-570.4666666666667,0,0,25.444444444444443
10,-639.0,0,0,31,0.9704017769489168,-577.32,0,0,26
11,-494.50000000000006,0,0,23,0.9674905716180701,-569.790909090909,0,0,25.727272727272727
12,-521.4000000000001,0,0,24,0.9645880999032158,-565.7583333333333,0,0,25.583333333333332
13,-486.7,0,0,22,0.9616943356035061,-559.6769230769231,0,0,25.307692307692307
14,-550.8,0,0,24,0.9588092525966956,-559.0428571428572,0,0,25.214285714285715
15,-584.9,0,0,26,0.9559328248389055,-560.7666666666667,0,0,25.266666666666666
16,-603.4000000000001,0,0,28,0.9530650263643888,-563.43125,0,0,25.4375
17,-560.1,0,0,29,0.9502058312852957,-563.2352941176471,0,0,25.647058823529413
18,-418.70000000000005,0,0,24,0.9473552137914398,-555.2055555555555,0,0,25.555555555555557
19,-351.0,0,0,20,0.9445131481500655,-544.4578947368421,0,0,25.263157894736842
20,-517.0000000000001,0,0,25,0.9416796087056153,-543.085,0,0,25.25
21,-582.4999999999999,0,0,28,0.9388545698794984,-544.9619047619047,0,0,25.38095238095238
22,-637.6999999999998,0,0,27,0.93603800616986,-549.1772727272727,0,0,25.454545454545453
23,-536.3,0,0,27,0.9332298921513504,-548.6173913043478,0,0,25.52173913043478
24,-692.5000000000001,0,0,30,0.9304302024748964,-554.6125,0,0,25.708333333333332
25,-678.6999999999999,0,0,32,0.9276389118674717,-559.576,0,0,25.96
26,-514.1,0,0,22,0.9248559951318693,-558.032,0,0,25.84
27,-585.6,0,0,31,0.9220814271464737,-559.648,0,0,26.12
28,-499.90000000000003,0,0,24,0.9193151828650342,-562.08,0,0,26.2
29,-664.1,0,0,29,0.9165572373164391,-565.236,0,0,26.32
30,-630.2,0,0,27,0.9138075656044898,-569.816,0,0,26.44
31,-561.6999999999998,0,0,30,0.9110661429076764,-567.464,0,0,26.64
32,-654.0,0,0,31,0.9083329444789534,-568.1,0,0,26.76
33,-629.6999999999999,0,0,31,0.9056079456455165,-566.48,0,0,26.96
34,-589.6000000000001,0,0,31,0.90289112180858,-567.364,0,0,27.04
35,-481.3,0,0,22,0.9001824484431542,-561.056,0,0,26.68
36,-686.6000000000003,0,0,28,0.8974819010978248,-568.74,0,0,26.88
37,-647.2,0,0,30,0.8947894553945313,-573.772,0,0,27.12
38,-572.4000000000001,0,0,30,0.8921050870283477,-577.2,0,0,27.44
39,-795.5999999999998,100,1,34,0.8894287717672626,-586.992,4,0.04,27.84
40,-603.8000000000001,0,0,29,0.8867604854519608,-587.748,4,0.04,27.96
41,-577.6999999999999,0,0,30,0.884100203995605,-586.72,4,0.04,28.04
42,-456.3,0,0,24,0.8814479033836181,-582.568,4,0.04,27.84
43,-661.5999999999999,100,1,31,0.8788035596734672,-592.284,8,0.08,28.12
44,-546.6999999999999,0,0,30,0.8761671489944468,-600.112,8,0.08,28.52
45,-549.0999999999999,100,1,29,0.8735386475474635,-601.396,12,0.12,28.68
46,-631.8,0,0,24,0.8709180316048211,-603.3679999999999,12,0.12,28.52
47,-612.1000000000001,0,0,28,0.8683052775100066,-602.344,12,0.12,28.56
48,-525.0,0,0,23,0.8657003616774767,-601.892,12,0.12,28.4
49,-609.6,0,0,26,0.8631032605924442,-598.576,12,0.12,28.24
50,-580.5,0,0,26,0.860513950810667,-594.648,12,0.12,28
